key_words	Topic
['age', 'live', 'household', 'think', 'start']	101_demographics
['date', 'need', 'survey', 'person', 'birth']	101_demographics
['spend', 'time', 'live', 'come', 'country']	101_demographics
['date', 'know', 'answer', 'birth', 'child']	101_demographics
['month', 'year', 'move', 'address']	101_demographics
['prefer', 'choose', 'stay', 'home']	101_demographics
['country', 'citizen', 'citizenship', 'birth']	101_demographics
['know', 'answer', 'interview']	101_demographics
['mother', 'live']	101_demographics
['father', 'live']	101_demographics
['trip', 'return', 'journey', 'count', 'day']	102_housing_and_local_environment
['People', 'disagree', 'agree', 'neighbourhood', 'statement']	102_housing_and_local_environment
['desk', 'schooling', 'household', 'think', 'table']	102_housing_and_local_environment
['disagree', 'agree', 'neighbourhood', 'people', 'statement']	102_housing_and_local_environment
['buy', 'mortgage', 'come', 'household', 'accommodation']	102_housing_and_local_environment
['addition', 'buy', 'exclude', 'mortgage', 'borrow']	102_housing_and_local_environment
['owe', 'vehicle[s', 'expect', 'price', 'sell']	102_housing_and_local_environment
['insult', 'colour', 'race', 'area', 'attack']	102_housing_and_local_environment
['answer', 'space', 'question', 'child', 'play']	102_housing_and_local_environment
['housing', 'question', 'move', 'situation']	102_housing_and_local_environment
['reason', '1st', 'person', 'think']	102_housing_and_local_environment
['accommodation', 'use', 'space']	102_housing_and_local_environment
['run', 'year', 'mortgage']	102_housing_and_local_environment
['scale', 'month', 'think']	102_housing_and_local_environment
['area', 'relate', 'reason']	102_housing_and_local_environment
['education', 'relate', 'reason']	102_housing_and_local_environment
['total', 'loan', 'mortgage']	102_housing_and_local_environment
['employment', 'relate', 'reason']	102_housing_and_local_environment
['family', 'relate', 'reason']	102_housing_and_local_environment
['housing', 'relate', 'reason']	102_housing_and_local_environment
['journey', 'use', 'work']	102_housing_and_local_environment
['week', 'work', 'place[s']	102_housing_and_local_environment
['household', 'people', 'reason']	102_housing_and_local_environment
['loan', 'mortgage']	102_housing_and_local_environment
['live', 'address']	102_housing_and_local_environment
['vehicle', 'company']	102_housing_and_local_environment
['doctor', 'health', 'tell', 'professional', 'condition']	103_physical_health
['medication', 'system', 'treatment', 'receive', 'affect']	103_physical_health
['coronavirus', 'catch', 'receive', 'illness', 'say']	103_physical_health
['diagnose', 'health', 'have', 'professional', 'condition']	103_physical_health
['coronavirus', 'have', 'level', 'report', 'recover']	103_physical_health
['coronavirus', 'tell', 'live', 'people', 'follow']	103_physical_health
['activity', 'go', 'limit', 'lot', 'day']	103_physical_health
['coronavirus', 'age', 'person', 'test', 'follow']	103_physical_health
['result', 'age', 'coronavirus', 'test', 'receive']	103_physical_health
['cause', 'symptom', 'coronavirus', 'experience']	103_physical_health
['result', 'test', 'receive', 'coronavirus']	103_physical_health
['result', 'health', 'time', 'week']	103_physical_health
['complete', 'time', 'survey', 'live']	103_physical_health
['symptom', 'week', 'coronavirus', 'experience']	103_physical_health
['type', 'malignancy', 'cancer']	103_physical_health
['cause', 'symptom', 'experience']	103_physical_health
['contact', 'week', 'covid-19']	103_physical_health
['result', 'test', 'coronavirus']	103_physical_health
['attention', 'kind', 'access']	103_physical_health
['age', 'heart', 'tell']	103_physical_health
['liver', 'kind', 'condition']	103_physical_health
['age', 'tell']	103_physical_health
['type', 'arthritis']	103_physical_health
['symptom', 'follow']	103_physical_health
['test', 'coronavirus']	103_physical_health
['test', 'time']	103_physical_health
['help', 'answer', 'basis', 'question', 'box']	104_mental_health_and_mental_processes
