KeyWords	topic
('age', 'household', 'people', 'help', 'live')	101_demographics
('date', 'need', 'birth', 'person', 'survey')	101_demographics
('come', 'spend', 'time', 'country', 'live')	101_demographics
('date', 'know', 'birth', 'child', 'answer')	101_demographics
('address', 'move', 'year', 'month')	101_demographics
('choose', 'home', 'prefer', 'stay')	101_demographics
('country', 'birth', 'citizen', 'citizenship')	101_demographics
('know', 'answer', 'interview')	101_demographics
('live', 'mother')	101_demographics
('father', 'live')	101_demographics
('journey', 'trip', 'day', 'count', 'return')	102_housing_and_local_environment
('People', 'agree', 'statement', 'disagree', 'neighbourhood')	102_housing_and_local_environment
('desk', 'household', 'work', 'think', 'space')	102_housing_and_local_environment
('agree', 'statement', 'disagree', 'neighbourhood', 'people')	102_housing_and_local_environment
('buy', 'accommodation', 'household', 'rent', 'mortgage')	102_housing_and_local_environment
('borrow', 'property', 'addition', 'mortgage', 'take')	102_housing_and_local_environment
('sell', 'owe', 'expect', 'vehicle(s', 'price')	102_housing_and_local_environment
('attack', 'colour', 'race', 'area', 'insult')	102_housing_and_local_environment
('child', 'answer', 'space', 'question', 'facility')	102_housing_and_local_environment
('situation', 'move', 'housing', 'question')	102_housing_and_local_environment
('reason', '1st', 'think', 'person')	102_housing_and_local_environment
('space', 'accommodation', 'use')	102_housing_and_local_environment
('year', 'run', 'mortgage')	102_housing_and_local_environment
('think', 'month', 'scale')	102_housing_and_local_environment
('reason', 'area', 'relate')	102_housing_and_local_environment
('education', 'reason', 'relate')	102_housing_and_local_environment
('total', 'mortgage', 'loan')	102_housing_and_local_environment
('employment', 'reason', 'relate')	102_housing_and_local_environment
('reason', 'family', 'relate')	102_housing_and_local_environment
('housing', 'reason', 'relate')	102_housing_and_local_environment
('journey', 'use', 'work')	102_housing_and_local_environment
('place(s', 'work', 'week')	102_housing_and_local_environment
('people', 'reason', 'household')	102_housing_and_local_environment
('mortgage', 'loan')	102_housing_and_local_environment
('address', 'live')	102_housing_and_local_environment
('vehicle', 'company')	102_housing_and_local_environment
('doctor', 'health', 'professional', 'tell', 'condition')	103_physical_health
('medication', 'affect', 'system', 'receive', 'taking')	103_physical_health
('catch', 'illness', 'receive', 'coronavirus', 'risk')	103_physical_health
('complete', 'health', 'tell', 'condition', 'survey')	103_physical_health
('doctor', 'health', 'condition', 'have', 'diagnose')	103_physical_health
('health', 'have', 'coronavirus', 'return', 'recover')	103_physical_health
('tell', 'follow', 'people', 'coronavirus', 'live')	103_physical_health
('go', 'day', 'activity', 'lot', 'item')	103_physical_health
('age', 'follow', 'person', 'coronavirus', 'test')	103_physical_health
('age', 'result', 'receive', 'coronavirus', 'test')	103_physical_health
('coronavirus', 'cause', 'symptom', 'experience')	103_physical_health
('receive', 'result', 'coronavirus', 'test')	103_physical_health
('health', 'result', 'time', 'week')	103_physical_health
('experience', 'coronavirus', 'symptom', 'week')	103_physical_health
('type', 'malignancy', 'cancer')	103_physical_health
('cause', 'symptom', 'experience')	103_physical_health
('covid-19', 'week', 'contact')	103_physical_health
('coronavirus', 'result', 'test')	103_physical_health
('kind', 'access', 'attention')	103_physical_health
('symptom', 'cause', 'live')	103_physical_health
('heart', 'age', 'tell')	103_physical_health
('coronavirus', 'live', 'test')	103_physical_health
('age', 'tell')	103_physical_health
