InstrumentURN	InstrumentName	QuestionURN	QuestionLabel	QuestionItemName	QuestionText	Instruction	response_label	response_domain	QuestionGroupID	QuestionGroupAgency	QuestionGroupName	QuestionGroupLabel
urn:ddi:uk.cls.nextsteps:83ab13bb-90e6-40fe-8741-16cf36400450:4	Next_Steps_Age_30_COVID-19_Survey_-_Wave_1	urn:ddi:uk.cls.nextsteps:9d0cfb4e-82e2-47f9-bda0-7f725791294b:1	OPEN	qi_OPEN	Please use the space below to express in your own words the main ways the Coronavirus outbreak has affected your life and/or your loved ones so far, and what you think the effects might be in the future. You can write as much or little as you like, and cover any topic you choose.			Long text	9b6a88e1-2cd2-47a2-a71d-69c8a10949ad	uk.closer	116.0	COVID-19
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:0362c9a6-8459-4889-b5a1-6aee05404bac:1	CMPOST	qi_CMPOST	Please enter the postcode of the address at which you are currently living, even if this is a temporary address. Use capitalised letters and leave a space between the two parts of the postcode. For example WC1H 0AL.			Generic text	32eac90e-9fe1-487d-8ebb-511b62083f16	uk.closer	11601.0	Demographics (CV19)
urn:ddi:uk.cls.nextsteps:83ab13bb-90e6-40fe-8741-16cf36400450:4	Next_Steps_Age_30_COVID-19_Survey_-_Wave_1	urn:ddi:uk.cls.nextsteps:2e5df117-1d97-4377-b332-cb52952e4d11:1	CMPOST	qi_CMPOST	Please enter the postcode of the address at which you are currently living, even if this is a temporary address. 	Use capitalised letters and leave a space between the two parts of the postcode. For example WC1H 0AL.		Generic text	e089a496-9830-4a40-aab0-2ee8a2de624b	uk.closer	11601.0	Demographics (CV19)
urn:ddi:uk.cls.nextsteps:82b7a6c9-47ea-4ee5-98fb-4cd5958c4076:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_3	urn:ddi:uk.cls.nextsteps:2f24c4a2-9f93-483d-93f8-b0190fb545bf:1	CHILAGEY	qi_CHILAGEY	How old is {CHILNAME}?	If {CHILNAME} is less than 1 year old please enter '0'		Age	24a776bd-2e6c-4dfa-ab59-356f78017cac	uk.closer	11601.0	Demographics (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:3e245473-4c09-46bc-a5b2-26d598ad094e:1	COUNTRES	qi_COUNTRES	Which country do you live in?		cs_qCOUNTRES	1|England. 2|Wales. 3|Scotland. 4|Northern Ireland. 5|Other (specify). -8|Don't Know. -9|Don't want to answer	32eac90e-9fe1-487d-8ebb-511b62083f16	uk.closer	11601.0	Demographics (CV19)
urn:ddi:uk.cls.nextsteps:82b7a6c9-47ea-4ee5-98fb-4cd5958c4076:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_3	urn:ddi:uk.cls.nextsteps:6188c247-717c-43c8-920a-8d1701eb6277:1	LOOP CHILD(SEX)	qi_LOOP_CHILD_SEX	Please record the sex of the children you live with below.		cs_qLOOP_CHILD_SEX	1|Male. 2|Female. 3|Prefer not to say. -8|Don't Know	24a776bd-2e6c-4dfa-ab59-356f78017cac	uk.closer	11601.0	Demographics (CV19)
urn:ddi:uk.cls.nextsteps:82b7a6c9-47ea-4ee5-98fb-4cd5958c4076:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_3	urn:ddi:uk.cls.nextsteps:6b82dd37-bf77-4f26-8f3c-8594b12bf8bd:1	COUNTRES	qi_COUNTRES	Which country do you live in?		cs_qCOUNTRES	1|England. 2|Wales. 3|Scotland. 4|Northern Ireland. 5|Other (specify). -8|Don't Know. -9|Don't want to answer	24a776bd-2e6c-4dfa-ab59-356f78017cac	uk.closer	11601.0	Demographics (CV19)
urn:ddi:uk.cls.nextsteps:82b7a6c9-47ea-4ee5-98fb-4cd5958c4076:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_3	urn:ddi:uk.cls.nextsteps:79717ddd-9f16-431b-8808-b8fd9324b342:1	CHILAGE	qi_CHILAGE	What is {CHILNAME}'s date of birth?	Please click below and record the date in the calendar. You must click exactly on the words “PLEASE CLICK HERE”		Date of birth	24a776bd-2e6c-4dfa-ab59-356f78017cac	uk.closer	11601.0	Demographics (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:84f73a01-73c1-44fe-a14e-7d08bcb4aeeb:1	CHILAGE	qi_CHILAGE	What is {CHILNAME}'s date of birth?	Please click below and record the date in the calendar.		Date of birth	32eac90e-9fe1-487d-8ebb-511b62083f16	uk.closer	11601.0	Demographics (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:96910f46-2828-4c04-877f-0632efd76a8c:1	MOVE	qi_MOVE	Have you moved to a new address since the beginning of June?		cs_qCOVID_HOSPAD	1|Yes. 2|No. -8|Don't Know. -9|Don't want to answer	32eac90e-9fe1-487d-8ebb-511b62083f16	uk.closer	11601.0	Demographics (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:acace621-ebf4-4ac6-98d7-fe2d528f5ac7:1	CHILAGEY	qi_CHILAGEY	How old is {CHILNAME}?	If {CHILNAME} is less than 1 year old please enter '0'		Age	32eac90e-9fe1-487d-8ebb-511b62083f16	uk.closer	11601.0	Demographics (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:b58271d5-512d-463c-a0db-a912add10523:1	CHSEX N	qi_CHSEX_N	Please record the sex of the children you live with below.		cs_qCHSEX_N	1|Male. 2|Female. 3|Prefer not to say. -8|Don't Know	32eac90e-9fe1-487d-8ebb-511b62083f16	uk.closer	11601.0	Demographics (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:b90073e3-21a1-455c-8f1c-f1bf42a0a273:1	CHILNAME N	qi_CHILNAME_N	Please enter the names of the children you live with below. If you prefer, you can just give their first initial(s). We only need this information to help ask questions later in the survey.			Generic text	32eac90e-9fe1-487d-8ebb-511b62083f16	uk.closer	11601.0	Demographics (CV19)
urn:ddi:uk.cls.nextsteps:83ab13bb-90e6-40fe-8741-16cf36400450:4	Next_Steps_Age_30_COVID-19_Survey_-_Wave_1	urn:ddi:uk.cls.nextsteps:ba0fb4e9-8d68-49cf-9332-bdf147c0d6ed:1	CHILAGE	qi_CHILAGE	Please give the age of each child you live with ... Years old			Age	e089a496-9830-4a40-aab0-2ee8a2de624b	uk.closer	11601.0	Demographics (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:0d1f1251-0da8-46a3-b43c-28295b2f946c:1	NUMROOMS	qi_NUMROOMS	How many rooms are there in the home where you are currently living, not counting kitchens, bathrooms, toilets, halls and garages?			How many I	92caa0cb-2cd8-4b36-8c65-ac7e4aea9f86	uk.closer	11602.0	Housing and local environment (CV19)
