InstrumentURN	InstrumentName	QuestionURN	QuestionLabel	QuestionItemName	QuestionText	Instruction	response_label	response_domain	QuestionGroupID	QuestionGroupAgency	QuestionGroupName	QuestionGroupLabel
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:28246786-b1f6-47c5-8ca9-54f12e690802:1	HPWT	qi_HPWT	What ^ was this problem?	[maximum 8 codes]	cs_qHPWT	1|Chest infections. 2|Ear infections. 3|Feeding problems. 4|Sleeping problems. 5|Wheezing or asthma. 6|Skin problems. 7|Sight or eye problems. 8|Failure to gain weight or to grow. 9|Persistent or severe vomiting. 10|Persistent or severe diarrhoea. 11|Fits or convulsions. 95|Other health problems	77ae139a-e33c-449f-aa5a-330890ac143d	uk.closer	103.0	Physical health
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:88d55b7d-65c2-4442-9489-e9405946fce6:1	HPWS	qi_HPWS	ENTER OTHER SORT OF HEALTH PROBLEM(S)			Generic text	77ae139a-e33c-449f-aa5a-330890ac143d	uk.closer	103.0	Physical health
urn:ddi:uk.cls.mcs:bf3d4174-94b2-4a79-a88f-58cfa0f4c166:1	MCS_Age_11_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:f619afa1-a0be-4389-8d1b-d259f665551d:1	XCLS	qi_XCLS	INTERVIEWER WRITE IN OTHER ANSWER			Other	68060b28-d2b7-4b60-9386-c32c1444423f	uk.closer	103.0	Physical health
urn:ddi:uk.cls.mcs:d0216bd6-6c2d-43c8-891d-4206e1df0c41:1	MCS_Age_5_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:00e0f1fd-6c3a-4039-9918-b84c9e00113c:1	SDON	qi_SDON	Please give your answers on the basis of the child's behaviour over the last six months. [^name of older sibling] is nervous or clingy in new situations, easily loses confidence		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	08b717f7-1e90-4793-92c3-a1a907da60eb	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:014d252b-4d23-4500-9124-0af566d432c7:1	SDLD i	qi_SDLD_i	How long have these difficulties been present?		cs_SDLD	1|Less than a month. 2|1-5 months. 3|6-12 months. 4|Over a year. 5|Can't say	0321ec8a-27cf-4bd3-8662-f87ced17b35f	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:027b4fba-1537-404d-97fb-db19472bc150:1	SDOU	qi_SDOU	What is [^name of older sibling] like? Please answer the following questions by saying whether each is 'Not true', 'Somewhat true' or 'Certainly true' of [^name of older sibling]. Please click by the number that most describes [^name of older sibling]'s behaviour in the last 6 months. [^name of older sibling] is helpful if someone is hurt, upset or feeling ill		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	0321ec8a-27cf-4bd3-8662-f87ced17b35f	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:d0216bd6-6c2d-43c8-891d-4206e1df0c41:1	MCS_Age_5_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:02b24fd7-bc41-4640-8bd5-37dd8a84db82:1	SDTH	qi_SDTH	Please give your answers on the basis of the child's behaviour over the last six months. [^name of older sibling] thinks things out before acting		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	08b717f7-1e90-4793-92c3-a1a907da60eb	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:c2b0c756-a2a6-495f-adbc-3c9b3dcc04b7:1	MCS_Age_11_Teacher_Paper_Questionnaire_England	urn:ddi:uk.cls.mcs:02dd5714-fe7d-4776-9cbf-7d7741d9f248:1	14	qi_14	Does this child get any of the following types of help or support at school due to a health or behavioural problem or disability?	TICK ALL THAT APPLY			a0e1d3de-b3d2-484c-8c31-68fb03bf52b5	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:83bd0aa6-f365-4801-95f9-9b0021e3e567:1	MCS_Age_11_Teacher_Paper_Questionnaire_Wales	urn:ddi:uk.cls.mcs:062db105-91f9-418b-9092-77d11c4462a2:1	48	qi_48	Are you male or female?	TICK ONE BOX ONLY	cs_q48	1|Male. 2|Female	a0e1d3de-b3d2-484c-8c31-68fb03bf52b5	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:bf3d4174-94b2-4a79-a88f-58cfa0f4c166:1	MCS_Age_11_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:06e8d754-280b-47d1-82a1-303a3c1145e6:1	SDFB	qi_SDFB	Please give your answers on the basis of [^Cohort child's name]'s behaviour over the  last six months.    [^Cohort child's name] often fights with other children or bullies them  		cs_SDPF-nottruedontknow	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Don't know/Don't wish to answer	9aca4763-8126-4582-94d2-3ad43b636e16	uk.closer	104.0	Mental health and mental processes
