KeyWords	topic
('pound', 'prefer', 'weight', 'kilogram', 'question')	103_physical_health
('doctor', 'disability', 'result', 'illness', 'condition')	103_physical_health
('result', 'report', 'test', 'coronavirus', 'finding')	103_physical_health
('activity', 'follow', 'number', 'begin', 'week')	103_physical_health
('antibody', 'finger', 'blood', 'serology', 'test')	103_physical_health
('nasal', 'saliva', 'infection', 'swab', 'test')	103_physical_health
('say', 'answer', 'continue', 'amend', 'weight')	103_physical_health
('prick', 'experience', 'month', 'burn', 'sensation')	103_physical_health
('rest', 'trouble', 'feel', 'relaxation', 'week')	103_physical_health
('relation', 'think', 'seek', 'advice', 'cause')	103_physical_health
('work', 'month', 'activity', 'restrict', 'feel')	103_physical_health
('pound', 'box', 'weight', 'screen', 'enter')	103_physical_health
('symptom', 'experience', 'follow', 'past', 'week')	103_physical_health
('tiredness', 'trouble', 'activity', 'prolong', 'week')	103_physical_health
('exercise', 'racing', 'experience', 'month', 'heart')	103_physical_health
('breath', 'month', 'shortness', 'cause', 'want')	103_physical_health
('follow', 'week', 'symptom', 'experience')	103_physical_health
('need', 'trouble', 'sleep', 'week')	103_physical_health
('sofa', 'bed', 'day', 'stay')	103_physical_health
('speak', 'slip', 'tongue', 'month')	103_physical_health
('problem', 'thing', 'start', 'month')	103_physical_health
('weight', 'stone', 'pound')	103_physical_health
('outbreak', 'health', 'month')	103_physical_health
('difficulty', 'concentrate', 'month')	103_physical_health
('trouble', 'exhaust', 'week')	103_physical_health
('trouble', 'wake', 'week')	103_physical_health
('need', 'rest', 'month')	103_physical_health
('problem', 'tiredness', 'month')	103_physical_health
('feel', 'drowsy', 'month')	103_physical_health
('find', 'word', 'month')	103_physical_health
('sleep', 'trouble', 'week')	103_physical_health
('strength', 'muscle', 'month')	103_physical_health
('energy', 'lack', 'month')	103_physical_health
('hospital', 'symptom')	103_physical_health
('weight', 'kilogram')	103_physical_health
('get', 'think')	103_physical_health
('symptom', 'experience')	103_physical_health
('feel', 'month')	103_physical_health
('function', 'symptom')	103_physical_health
('behaviour', 'basis', 'month', 'child', 'answer')	104_mental_health_and_mental_processes
('behaviour', 'answer', 'month', 'item', 'help')	104_mental_health_and_mental_processes
('^name', 'follow', 'describe', 'number', 'question')	104_mental_health_and_mental_processes
('problem', 'follow', 'feel', 'bother', 'week')	104_mental_health_and_mental_processes
